obs_wl_air(nm),unc_obs_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""488.50971""","=""0.00020""","=""20464.707""","=""1000""","=""1.02e+05""",C,"=""149824.2215""","=""170288.9415""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L4498""",
"=""488.8365""","=""0.0020""","=""20451.03""","=""50""","=""""",,"=""151038.4524""","=""171489.486""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""489.20900""","=""0.00010""","=""20435.455""","=""5000""","=""""",,"=""150121.5922""","=""170557.0484""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""""","=""L7292""",
"=""489.2228""","=""0.0020""","=""20434.88""","=""100""","=""""",,"=""151038.4524""","=""171473.311""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""489.7924""","=""0.0020""","=""20411.11""","=""700""","=""""",,"=""150121.5922""","=""170532.7169""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""489.9013""","=""0.0020""","=""20406.58""","=""500""","=""""",,"=""150917.4307""","=""171324.0107""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""492.82350""","=""0.00010""","=""20285.577""","=""700""","=""""",,"=""151038.4524""","=""171324.0107""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L7292""",
"=""493.0944""","=""0.0020""","=""20274.43""","=""500""","=""""",,"=""151038.4524""","=""171312.8413""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""493.90410""","=""0.00010""","=""20241.196""","=""1000""","=""""",,"=""150315.8612""","=""170557.0484""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""""","=""L7292""",
"=""494.49870""","=""0.00010""","=""20216.857""","=""1000""","=""""",,"=""150315.8612""","=""170532.7169""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""""","=""L7292""",
"=""495.53905""","=""0.00020""","=""20174.414""","=""1500""","=""2.69e+05""",C,"=""150121.5922""","=""170296.0099""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L4498""",
"=""495.70335""","=""0.00004""","=""20167.7275""","=""10000""","=""1.06e+06""",C+,"=""150121.5922""","=""170289.3243""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""T6976""","=""L3451""",
"=""495.71220""","=""0.00010""","=""20167.367""","=""1500""","=""3.41e+05""",C+,"=""150121.5922""","=""170288.9415""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L7292""",
"=""497.35555""","=""0.00020""","=""20100.732""","=""1000""","=""""",,"=""150772.1118""","=""170872.8524""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""""","=""L4498""",
"=""497.4760""","=""0.0020""","=""20095.87""","=""500""","=""""",,"=""150772.1118""","=""170867.923""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""497.5961""","=""0.0020""","=""20091.01""","=""100""","=""""",,"=""150772.1118""","=""170862.9893""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""497.9625""","=""0.0020""","=""20076.23""","=""50""","=""""",,"=""150772.1118""","=""170848.274""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""499.49300""","=""0.00010""","=""20014.717""","=""1500""","=""""",,"=""150858.5079""","=""170873.2327""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""",,"=""""","=""L7292""",
"=""499.6209""","=""0.0020""","=""20009.59""","=""20""","=""""",,"=""150858.5079""","=""170867.923""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""499.7482""","=""0.0020""","=""20004.50""","=""150""","=""""",,"=""150858.5079""","=""170862.9893""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""499.8502""","=""0.0020""","=""20000.41""","=""100""","=""""",,"=""150858.5079""","=""170858.8729""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""",,"=""""","=""L3469""",
