obs_wl_air(nm),unc_obs_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""430.3695""","=""0.0020""","=""23229.31""","=""10""","=""""",,"=""150121.5922""","=""173350.78""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""430.3955""","=""0.0020""","=""23227.91""","=""50""","=""""",,"=""150121.5922""","=""173349.46""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""430.62508""","=""0.00020""","=""23215.527""","=""700""","=""""",,"=""148257.7898""","=""171473.311""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""""","=""L4498""",
"=""431.0130""","=""0.0020""","=""23194.63""","=""20""","=""""",,"=""149824.2215""","=""173018.85""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[7/2]*""","=""3""",,"=""""","=""L3469""",
"=""431.4110""","=""0.0020""","=""23173.23""","=""10""","=""""",,"=""149657.0392""","=""172830.25""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""431.4695""","=""0.0020""","=""23170.09""","=""300""","=""""",,"=""149657.0392""","=""172827.13""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""4""",,"=""""","=""L3469""",
"=""431.6008""","=""0.0020""","=""23163.04""","=""150""","=""""",,"=""149824.2215""","=""172987.283""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""431.8834""","=""0.0020""","=""23147.89""","=""50""","=""""",,"=""149824.2215""","=""172972.289""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""431.9511""","=""0.0020""","=""23144.26""","=""10""","=""""",,"=""149824.2215""","=""172968.51""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""432.1492""","=""0.0020""","=""23133.65""","=""20""","=""""",,"=""150121.5922""","=""173255.24""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""432.7265""","=""0.0020""","=""23102.79""","=""100""","=""""",,"=""149657.0392""","=""172759.82""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""433.41267""","=""0.00004""","=""23066.2135""","=""700""","=""""",,"=""148257.7898""","=""171324.0107""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L3451""",
"=""433.62268""","=""0.00020""","=""23055.042""","=""500""","=""""",,"=""148257.7898""","=""171312.8413""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""",,"=""""","=""L4498""",
"=""433.8200""","=""0.0020""","=""23044.56""","=""20""","=""""",,"=""150121.5922""","=""173166.15""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).12d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""434.0256""","=""0.0020""","=""23033.64""","=""20""","=""""",,"=""150315.8612""","=""173349.52""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""434.0420""","=""0.0020""","=""23032.77""","=""20""","=""""",,"=""149824.2215""","=""172857.00""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""434.5479""","=""0.0020""","=""23005.96""","=""20*""","=""""",,"=""149824.2215""","=""172830.20""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""434.5479""","=""0.0020""","=""23005.96""","=""20*""","=""""",,"=""149824.2215""","=""172830.25""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""434.5762""","=""0.0020""","=""23004.46""","=""10""","=""""",,"=""150121.5922""","=""173126.12""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""434.6036""","=""0.0020""","=""23003.01""","=""150""","=""""",,"=""149824.2215""","=""172827.35""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""3""",,"=""""","=""L3469""",
"=""435.7298""","=""0.0020""","=""22943.55""","=""20""","=""""",,"=""150315.8612""","=""173259.46""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""435.7918""","=""0.0020""","=""22940.29""","=""50""","=""""",,"=""149824.2215""","=""172764.60""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""435.8816""","=""0.0020""","=""22935.56""","=""20""","=""""",,"=""149824.2215""","=""172759.82""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""436.2690""","=""0.0020""","=""22915.20""","=""300""","=""""",,"=""149657.0392""","=""172572.22""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""436.3228""","=""0.0020""","=""22912.37""","=""20""","=""""",,"=""149657.0392""","=""172569.40""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""436.35240""","=""0.00010""","=""22910.818""","=""700""","=""""",,"=""149657.0392""","=""172567.857""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[7/2]*""","=""4""",,"=""""","=""L7292""",
"=""436.5705""","=""0.0020""","=""22899.37""","=""10""","=""""",,"=""150121.5922""","=""173020.96""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""437.1796""","=""0.0020""","=""22867.47""","=""20""","=""""",,"=""150121.5922""","=""172988.99""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""437.2157""","=""0.0020""","=""22865.58""","=""300""","=""""",,"=""150121.5922""","=""172987.204""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""437.4997""","=""0.0020""","=""22850.74""","=""20*""","=""""",,"=""150315.8612""","=""173166.45""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).12d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""437.4997""","=""0.0020""","=""22850.74""","=""20*""","=""""",,"=""150121.5922""","=""172972.289""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""437.7754""","=""0.0020""","=""22836.35""","=""20""","=""""",,"=""150772.1118""","=""173608.51""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""437.7754""","=""0.0020""","=""22836.35""","=""20*""","=""""",,"=""150772.1118""","=""173608.51""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""438.12200""","=""0.00010""","=""22818.281""","=""300""","=""""",,"=""149657.0392""","=""172475.321""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""2""",,"=""""","=""L7292""",
"=""439.4370""","=""0.0020""","=""22750.00""","=""150*""","=""""",,"=""150858.5079""","=""173608.51""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""439.4370""","=""0.0020""","=""22750.00""","=""150*""","=""""",,"=""150858.5079""","=""173608.51""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""439.4370""","=""0.0020""","=""22750.00""","=""150*""","=""""",,"=""150858.5079""","=""173608.54""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""439.4773""","=""0.0020""","=""22747.91""","=""150""","=""""",,"=""149824.2215""","=""172572.12""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""439.5008""","=""0.0020""","=""22746.70""","=""10""","=""""",,"=""149824.2215""","=""172570.83""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""439.5306""","=""0.0020""","=""22745.16""","=""10""","=""""",,"=""149824.2215""","=""172569.40""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""439.55560""","=""0.00010""","=""22743.861""","=""500""","=""""",,"=""149824.2215""","=""172568.083""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[7/2]*""","=""3""",,"=""""","=""L7292""",
"=""439.5969""","=""0.0020""","=""22741.72""","=""10""","=""""",,"=""149824.2215""","=""172565.93""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""439.7175""","=""0.0020""","=""22735.49""","=""10""","=""""",,"=""150121.5922""","=""172857.00""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""439.8136""","=""0.0020""","=""22730.52""","=""50""","=""""",,"=""150121.5922""","=""172852.13""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""440.2374""","=""0.0020""","=""22708.64""","=""20""","=""""",,"=""150121.5922""","=""172830.20""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""440.2580""","=""0.0020""","=""22707.58""","=""10""","=""""",,"=""150121.5922""","=""172829.30""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""440.2985""","=""0.0020""","=""22705.49""","=""10""","=""""",,"=""150315.8612""","=""173021.29""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""440.5582""","=""0.0020""","=""22692.10""","=""20""","=""""",,"=""150917.4307""","=""173609.59""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""440.9620""","=""0.0020""","=""22671.32""","=""200""","=""""",,"=""150315.8612""","=""172987.283""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""441.2285""","=""0.0020""","=""22657.63""","=""200""","=""""",,"=""149824.2215""","=""172481.8376""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""441.3561""","=""0.0020""","=""22651.08""","=""150""","=""""",,"=""149824.2215""","=""172475.321""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""441.5141""","=""0.0020""","=""22642.97""","=""50""","=""""",,"=""150121.5922""","=""172764.60""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""441.6817""","=""0.0020""","=""22634.38""","=""500""","=""""",,"=""149824.2215""","=""172458.613""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""442.0558""","=""0.0020""","=""22615.23""","=""10""","=""""",,"=""148257.7898""","=""170872.8524""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""442.15553""","=""0.00020""","=""22610.127""","=""500""","=""""",,"=""148257.7898""","=""170867.923""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L4498""",
"=""442.25205""","=""0.00004""","=""22605.1925""","=""3000""","=""""",,"=""148257.7898""","=""170862.9893""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L3451""",
"=""442.48065""","=""0.00020""","=""22593.514""","=""3000""","=""""",,"=""148257.7898""","=""170851.3105""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",,"=""""","=""L4498""",
"=""442.54000""","=""0.00010""","=""22590.484""","=""1500""","=""""",,"=""148257.7898""","=""170848.274""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""0""",,"=""""","=""L7292""",
"=""442.7755""","=""0.0020""","=""22578.47""","=""300""","=""""",,"=""150772.1118""","=""173350.78""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""442.7981""","=""0.0020""","=""22577.32""","=""150""","=""""",,"=""150772.1118""","=""173349.46""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""442.9410""","=""0.0020""","=""22570.03""","=""10""","=""""",,"=""151038.4524""","=""173608.51""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""443.25166""","=""0.00020""","=""22554.215""","=""200""","=""""",,"=""149657.0392""","=""172211.266""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""3""",,"=""""","=""L4498""",
"=""443.3398""","=""0.0020""","=""22549.73""","=""100""","=""""",,"=""149657.0392""","=""172206.770""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""443.37239""","=""0.00004""","=""22548.0733""","=""700""","=""""",,"=""149657.0392""","=""172205.113""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[7/2]*""","=""4""",,"=""""","=""L3451""",
"=""443.5094""","=""0.0020""","=""22541.11""","=""50""","=""""",,"=""150315.8612""","=""172857.00""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""444.0363""","=""0.0020""","=""22514.36""","=""150*""","=""""",,"=""150315.8612""","=""172830.25""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""444.0363""","=""0.0020""","=""22514.36""","=""150*""","=""""",,"=""150315.8612""","=""172830.20""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""444.0812""","=""0.0020""","=""22512.08""","=""20""","=""""",,"=""150315.8612""","=""172827.93""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""444.0890""","=""0.0020""","=""22511.69""","=""10""","=""""",,"=""150315.8612""","=""172827.35""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""3""",,"=""""","=""L3469""",
"=""444.4978""","=""0.0020""","=""22490.99""","=""300""","=""""",,"=""150858.5079""","=""173349.52""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""444.5671""","=""0.0020""","=""22487.48""","=""10""","=""""",,"=""150772.1118""","=""173259.46""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""444.6538""","=""0.0020""","=""22483.10""","=""10""","=""""",,"=""150772.1118""","=""173255.24""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""445.2983""","=""0.0020""","=""22450.55""","=""150""","=""""",,"=""150121.5922""","=""172572.12""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""445.3253""","=""0.0020""","=""22449.19""","=""50""","=""""",,"=""150121.5922""","=""172570.83""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""445.3324""","=""0.0020""","=""22448.84""","=""20""","=""""",,"=""150315.8612""","=""172764.60""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""445.3528""","=""0.0020""","=""22447.81""","=""10""","=""""",,"=""150121.5922""","=""172569.40""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""445.4285""","=""0.0020""","=""22443.99""","=""50""","=""""",,"=""150315.8612""","=""172759.82""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""445.5564""","=""0.0020""","=""22437.55""","=""150""","=""""",,"=""149824.2215""","=""172261.741""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""445.6380""","=""0.0020""","=""22433.44""","=""10""","=""""",,"=""150917.4307""","=""173350.78""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""446.01750""","=""0.00010""","=""22414.354""","=""1000""","=""""",,"=""149657.0392""","=""172071.389""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""2""",,"=""""","=""L7292""",
"=""446.2856""","=""0.0020""","=""22400.89""","=""20""","=""""",,"=""150858.5079""","=""173259.46""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""446.56544""","=""0.00020""","=""22386.852""","=""500""","=""""",,"=""149824.2215""","=""172211.107""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""2""",,"=""""","=""L4498""",
"=""446.6045""","=""0.0020""","=""22384.89""","=""50""","=""""",,"=""149824.2215""","=""172209.15""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""446.6503""","=""0.0020""","=""22382.60""","=""20""","=""""",,"=""149824.2215""","=""172206.770""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""446.68120""","=""0.00004""","=""22381.0503""","=""700""","=""""",,"=""149824.2215""","=""172205.272""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[7/2]*""","=""3""",,"=""""","=""L3451""",
"=""446.7491""","=""0.0020""","=""22377.65""","=""10""","=""""",,"=""149824.2215""","=""172201.878""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""447.0971""","=""0.0020""","=""22360.23""","=""50*""","=""""",,"=""150917.4307""","=""173277.59""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).13d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""447.0971""","=""0.0020""","=""22360.23""","=""50*""","=""""",,"=""150121.5922""","=""172481.8376""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""447.2246""","=""0.0020""","=""22353.86""","=""10*""","=""""",,"=""150772.1118""","=""173126.12""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""447.2246""","=""0.0020""","=""22353.86""","=""10*""","=""""",,"=""150121.5922""","=""172475.321""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""447.5131""","=""0.0020""","=""22339.45""","=""50""","=""""",,"=""150121.5922""","=""172460.966""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""447.56560""","=""0.00010""","=""22336.826""","=""1000""","=""""",,"=""150121.5922""","=""172458.427""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[5/2]*""","=""2""",,"=""""","=""L7292""",
"=""448.0823""","=""0.0020""","=""22311.07""","=""150""","=""""",,"=""151038.4524""","=""173349.51""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""448.31900""","=""0.00010""","=""22299.289""","=""1500""","=""""",,"=""148257.7898""","=""170557.0484""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""""","=""L7292""",
