obs_wl_air(nm),wn(cm-1),intens
624.67294,16003.9501,1000
624.9593,15996.62,50
625.2732,15988.59,20
625.87884,15973.115,1000
626.64952,15953.4708,10000
627.30141,15936.892,700
627.60327,15929.227,500
629.37447,15884.3989,1000
630.47893,15856.5732,1000
631.36855,15834.231,1500
632.81646,15798.0019,3000
633.08894,15791.202,1500
633.44276,15782.3821,10000
635.18532,15739.085,1000
636.49963,15706.586,1000
638.29914,15662.3058,10000
640.1076,15618.06,1000
640.22480,15615.1972,20000
640.97469,15596.929,1500
642.17044,15567.887,1000
644.47118,15512.3105,1500
650.65277,15364.9354,15000
653.28824,15302.9512,1000
659.89528,15149.7353,10000
660.29007,15140.677,1000
664.00095,15056.062,100
664.080,15054.27,50
665.20925,15028.7137,1500
666.6892,14995.352,1000
667.82766,14969.7898,5000
671.70430,14883.3945,700
672.11342,14874.335,20
673.80320,14837.033,700
675.95821,14789.732,150
692.94672,14427.1441,100000
